"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"2678",34.125,27,115,5.07,76.875,NA,60816,"OL","T",10.25,1.73,7.95,NA,NA,31,322,82,2020
"2679",32.25,19,97,5.54,75.625,NA,11954,"OL","C",9.5,1.93,7.6,4.47,3.22,26.5,312,NA,2017
"2680",32.25,19,119,4.41,74.25,NA,3788,"WO","WR",10.625,1.56,NA,NA,2.59,40,225,NA,2007
"2681",35.5,23,115,5.09,78.5,NA,47019,"OL","T",10.125,NA,7.9,5.02,NA,27,305,NA,2019
"2682",NA,NA,NA,NA,73.625,NA,3746,"OL","G",NA,1.86,NA,NA,3.06,NA,313,NA,2007
"2683",NA,25,102,5.12,74.125,NA,3770,"DL","DI",NA,1.77,7.49,4.69,2.97,26.5,305,NA,2007
"2684",34.875,19,114,4.94,77.5,NA,7076,"OL","T",9.875,1.68,7.52,4.78,2.83,35.5,312,NA,2012
"2685",NA,23,101,5,75.625,NA,475,"OL","G",NA,1.72,7.71,4.66,2.88,31,306,NA,1999
"2686",33.25,24,NA,5.37,75.125,NA,3765,"OL","G",9.375,1.87,NA,NA,3.13,NA,325,NA,2007
"2687",34,NA,NA,NA,76,NA,3735,"OL","G",9.625,1.72,NA,NA,2.85,NA,300,NA,2007
"2688",NA,27,92,5.4,75,NA,3740,"OL","G",NA,1.87,8.34,4.92,3.11,NA,317,NA,2007
"2689",31.375,18,121,4.58,70.125,NA,10768,"RB","HB",9.5,1.57,6.97,4.28,2.73,37.5,215,NA,2016
"2690",NA,NA,NA,4.95,73,NA,3794,"PK","K",NA,NA,NA,NA,NA,NA,225,NA,2007
"2691",NA,NA,NA,5.18,73,NA,3809,"PK","K",NA,NA,NA,NA,NA,NA,212,NA,2007
"2692",NA,26,122,4.58,76.625,NA,3732,"LB","LS",NA,1.58,6.89,4.22,2.67,34.5,250,NA,2007
"2693",NA,22,111,4.69,76.5,NA,3736,"DL","ED",NA,1.69,NA,NA,2.79,33,271,NA,2007
"2694",NA,26,116,4.51,73.5,NA,3780,"LB","LB",NA,1.67,7.01,4.12,2.73,36.5,236,NA,2007
"2695",NA,20,112,5,77.625,NA,3754,"DL","ED",NA,1.73,7.5,4.54,2.9,33,279,NA,2007
"2696",NA,33,NA,4.78,73.875,NA,3808,"LB","LB",NA,1.66,NA,NA,2.77,NA,239,NA,2007
"2697",32,NA,NA,4.72,72,NA,3790,"QB","QB",10.125,NA,NA,NA,NA,NA,225,NA,2007
"2698",31,23,NA,4.58,73.875,NA,3760,"DB","S",8.5,NA,NA,NA,NA,NA,227,NA,2007
"2699",30.25,12,115,4.6,74,NA,3742,"DB","S",9.625,1.67,7.37,4.46,2.73,34.5,205,NA,2007
"2700",NA,22,129,4.48,73.25,NA,3800,"DB","S",NA,1.57,6.96,4.16,2.63,38.5,222,NA,2007
"2701",NA,NA,NA,NA,72.625,NA,3789,"DB","CB",NA,1.63,NA,NA,2.66,NA,190,NA,2007
"2702",NA,NA,NA,NA,72.25,NA,3783,"DB","S",NA,1.6,NA,NA,2.68,NA,220,NA,2007
"2703",34.375,16,111,4.78,79,NA,3745,"TE","TE",10.125,1.73,7.26,4.32,2.84,30,270,NA,2007
"2704",33.5,19,117,4.79,75.875,NA,3749,"TE","TE",10,1.68,7.35,4.49,2.81,34,252,NA,2007
"2705",33.25,NA,116,4.78,78.5,NA,3769,"TE","TE",10.25,1.67,6.96,4.41,2.81,35,252,NA,2007
"2706",32.25,20,115,4.78,75.25,NA,3771,"TE","TE",9.375,1.73,6.96,4.47,2.8,36,244,NA,2007
"2707",NA,25,115,4.73,74.875,NA,3877,"DL","ED",NA,1.71,7.5,4.36,2.83,35,250,NA,2007
"2708",NA,19,106,4.82,75.375,NA,3823,"LB","LB",NA,1.72,7.01,4.31,2.88,32.5,240,NA,2007
"2709",33.125,NA,NA,NA,75.125,NA,3831,"TE","TE",10.5,1.62,NA,NA,2.74,NA,252,NA,2007
"2710",NA,25,108,5.01,76.125,NA,11117,"OL","G",NA,1.72,7.31,4.27,2.89,28,303,NA,2016
"2711",NA,34,111,4.94,74.625,NA,3908,"TE","TE",NA,1.73,7.07,4.43,2.87,30,257,NA,2007
"2712",NA,22,108,4.87,75,NA,3836,"LB","LB",NA,1.67,7.29,4.25,2.83,32,249,NA,2007
"2713",NA,21,116,4.71,73,NA,4056,"TE","TE",NA,NA,7.23,4.43,NA,33,255,NA,2007
"2714",34,NA,NA,NA,77.625,NA,3821,"QB","QB",9.875,1.75,NA,NA,2.91,NA,231,NA,2007
"2715",31.25,NA,NA,4.49,76.125,NA,3826,"WO","WR",10.125,NA,NA,NA,NA,NA,217,NA,2007
"2716",NA,21,106,5,77.75,NA,3898,"DL","ED",NA,1.85,7.38,4.8,3.04,29,268,NA,2007
"2717",33,23,114,5.02,76.625,NA,27064,"OL","T",9.875,1.74,NA,NA,NA,29.5,306,78.5,2020
"2718",33,26,112,5.05,77.125,NA,46216,"OL","G",10.5,1.72,7.83,4.63,2.89,34,296,NA,2018
"2719",NA,NA,108,5,76.25,NA,3948,"QB","QB",NA,1.74,6.99,4.28,2.89,29.5,232,NA,2007
"2720",NA,21,88,5.51,74,NA,5334,"OL","C",NA,1.97,8.09,4.93,3.22,25.5,308,NA,2009
"2721",32.75,29,96,5.5,74.375,NA,9641,"OL","C",10.25,1.93,7.66,4.58,3.19,27,306,NA,2015
"2722",32.75,33,NA,5.5,76.375,NA,28148,"OL","C",9.25,1.95,NA,NA,NA,NA,303,78,2020
"2723",NA,29,104,5.02,74.5,NA,3907,"DL","DI",NA,1.77,7.78,4.82,2.93,29,309,NA,2007
"2724",36.375,23,114,5.03,77,NA,6768,"OL","T",10.75,1.81,7.6,4.77,2.98,30,317,NA,2011
"2725",33.875,NA,114,5.12,78.125,NA,91462,"OL","T",9.625,NA,7.61,4.7,NA,33.5,309,NA,2019
"2726",NA,23,115,4.75,73.375,NA,3962,"LB","ED",NA,1.67,7.06,4.43,2.79,29.5,254,NA,2007
"2727",33,NA,105,5.19,75.875,NA,10713,"OL","G",9.875,1.72,7.4,4.52,2.99,26,303,NA,2016
"2728",NA,NA,NA,NA,69.5,NA,3900,"RB","HB",NA,1.6,NA,NA,2.7,NA,202,NA,2007
"2729",NA,NA,109,4.62,73.75,NA,3856,"LB","LB",NA,1.62,7.34,NA,2.73,30.5,241,NA,2007
"2730",31,NA,128,4.33,73.25,NA,4318,"RB","HB",9.75,1.5,NA,NA,2.53,33,211,NA,2008
"2731",NA,NA,124,4.75,75,NA,4316,"DL","ED",NA,1.6,7.02,4.21,2.7,34,272,NA,2008
"2732",NA,18,113,4.77,72.625,NA,3917,"LB","LB",NA,1.69,NA,NA,2.82,29.5,236,NA,2007
"2733",NA,26,108,4.7,75.75,NA,3855,"DL","ED",NA,1.63,7.06,4.4,2.75,36.5,274,NA,2007
"2734",NA,NA,NA,5.26,77,NA,3841,"PK","P",NA,NA,NA,NA,NA,NA,239,NA,2007
"2735",NA,NA,112,4.83,73.375,NA,4031,"QB","QB",NA,1.75,7.05,4.36,2.86,31.5,215,NA,2007
"2736",NA,NA,NA,NA,76.75,NA,4317,"QB","QB",9.5,1.67,NA,NA,2.86,NA,228,NA,2008
"2737",NA,15,NA,4.59,72.25,NA,4035,"DB","CB",NA,1.68,7.31,4.72,2.79,33,201,NA,2007
"2738",NA,17,122,4.55,73.625,NA,3920,"DB","S",NA,1.6,6.69,4.26,2.65,35,216,NA,2007
"2739",NA,13,132,4.58,75.25,NA,3819,"DB","S",NA,1.64,7.13,4.44,2.71,39,218,NA,2007
"2740",NA,NA,127,4.62,73.25,NA,3842,"DB","S",NA,1.5,6.81,4.2,2.62,37.5,195,NA,2007
"2741",30.5,16,124,4.38,72.5,NA,7926,"WO","WR",9,1.54,NA,4.35,2.58,33.5,194,NA,2013
"2742",31.25,11,120,4.51,75,NA,29726,"WO","WR",9.75,1.56,NA,NA,2.65,33.5,205,NA,2018
"2743",32.75,17,118,4.51,78,NA,5008,"WO","WR",9.5,1.7,NA,4.26,2.75,33.5,229,NA,2009
"2744",32,8,116,4.57,72.375,NA,11246,"WO","WR",9.75,1.64,NA,NA,2.73,33.5,201,NA,2016
"2745",32.75,10,115,4.46,76.25,NA,7397,"WO","WR",8.25,1.63,NA,4.23,2.7,33.5,209,NA,2012
"2746",32.25,11,114,4.55,74,NA,10774,"WO","WR",8.375,1.55,NA,NA,2.61,33.5,194,NA,2016
"2747",32.75,15,113,4.59,72.375,NA,5944,"WO","WR",9.5,1.65,NA,NA,2.72,33.5,212,NA,2010
"2748",NA,NA,NA,NA,78.375,NA,4332,"QB","QB",9.625,1.71,NA,NA,2.79,NA,236,NA,2008
"2749",NA,NA,115,4.81,74.875,NA,4370,"QB","QB",9.75,1.67,7.13,4.55,2.76,30,230,NA,2008
