"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"1026",33.5,25,96,5.33,73,NA,49970,"DL","DI",9.875,1.81,8.15,5.02,3.04,27,317,NA,2018
"1027",33.125,NA,116,NA,77.375,NA,48457,"DL","ED",10,NA,6.84,4.32,NA,35,270,NA,2018
"1028",NA,NA,122,NA,75.25,NA,48475,"DL","ED",NA,NA,NA,NA,NA,35.5,265,NA,2018
"1029",33.25,30,118,4.69,72.625,NA,10743,"LB","LB",10,1.61,7.05,4.51,2.71,34.5,242,NA,2016
"1030",34,22,107,4.82,78.875,NA,46854,"OL","T",9.375,1.7,7.14,4.5,2.83,29.5,297,NA,2018
"1031",32.375,16,129,4.34,74.875,NA,47702,"WO","WR",9.25,1.51,NA,NA,2.54,40,199,NA,2018
"1032",35,19,NA,5.33,77.125,NA,46375,"OL","T",10.75,1.83,NA,NA,3.08,NA,298,NA,2018
"1033",33.25,26,NA,4.92,77.25,NA,5597,"DL","ED",10.5,1.76,NA,NA,2.9,NA,285,NA,2010
"1034",33.5,NA,117,NA,76.875,NA,50201,"DL","ED",10,NA,7.16,4.25,NA,31,238,NA,2018
"1035",32.125,23,104,5.23,76.125,NA,45547,"OL","C",9.625,1.78,7.77,4.78,3,23.5,307,NA,2018
"1036",32,21,119,4.64,75.375,NA,51222,"LB","LB",9.75,1.55,6.9,4.28,2.65,38.5,236,NA,2018
"1037",34.5,19,102,5.31,78,NA,46302,"OL","T",10.25,1.85,7.87,4.8,3.07,23.5,320,NA,2018
"1038",32.625,24,97,5.39,77.75,NA,66578,"OL","G",9.25,1.87,8.04,4.84,3.1,26.5,305,NA,2018
"1039",29.75,24,118,4.48,70,NA,7522,"RB","HB",8,1.58,7.36,4.19,2.66,34,205,NA,2012
"1040",29.75,22,NA,4.47,69.625,NA,28011,"RB","HB",9.375,NA,NA,NA,NA,33.5,211,NA,2019
"1041",29.75,11,118,4.42,66.5,NA,11874,"RB","HB",10.125,1.54,NA,NA,2.59,31.5,179,NA,2017
"1042",29.75,17,130,4.41,69.875,NA,10753,"RB","HB",9.125,1.56,NA,NA,2.59,39,192,NA,2016
"1043",32,18,117,4.82,73,NA,50720,"LB","LB",10,1.63,6.8,4.27,2.79,33,234,NA,2018
"1044",33.375,18,131,4.59,75.125,NA,50203,"LB","LB",9.125,1.59,6.82,4.15,2.64,39.5,233,NA,2018
"1045",32,27,125,4.52,74.25,NA,50884,"LB","LB",9.625,1.59,NA,NA,2.67,36,236,NA,2018
"1046",31.5,22,126,4.53,73.125,NA,28091,"LB","LB",10.375,1.62,NA,NA,2.68,36.5,229,NA,2018
"1047",NA,26,112,4.81,75.75,NA,2263,"DL","ED",NA,1.7,7.65,4.36,2.82,32,278,NA,2005
"1048",30.625,NA,113,4.81,74.625,NA,46452,"QB","QB",9.75,1.67,6.95,4.07,2.78,31,222,NA,2018
"1049",30.75,8,119,4.61,72.75,NA,51241,"DB","S",9.75,1.62,7.16,4.33,2.69,30,197,NA,2018
"1050",30,10,122,4.63,70.75,NA,8783,"DB","CB",9.125,1.65,6.94,4.38,2.72,40.5,195,NA,2014
"1051",30.875,6,117,4.63,72.375,NA,49378,"DB","CB",9,NA,7.01,4.15,NA,32.5,188,NA,2018
"1052",32.375,NA,NA,4.63,73.75,NA,35112,"DB","CB",9.75,NA,NA,NA,NA,NA,218,NA,2019
"1053",31.25,NA,123,4.64,72,NA,10003,"DB","CB",8.625,1.63,6.97,4.26,2.7,34,179,NA,2015
"1054",33.75,24,NA,NA,76.375,NA,46333,"OL","T",10.125,NA,NA,NA,NA,NA,308,NA,2018
"1055",32.5,NA,123,4.74,75.625,NA,42130,"TE","TE",10,1.63,7.15,4.2,2.71,36,259,NA,2018
"1056",33,NA,96,5.37,74.75,NA,48966,"DL","DI",9.125,1.89,7.95,4.83,3.09,23.5,329,NA,2018
"1057",32.75,15,122,4.46,73.5,NA,45741,"RB","HB",9.5,1.54,6.91,4.35,2.61,33.5,228,NA,2018
"1058",32,NA,NA,NA,73.25,NA,38563,"DL","DI",9.5,NA,NA,NA,NA,NA,292,NA,2018
"1059",33.375,29,NA,4.95,75.75,NA,28451,"DL","DI",10.25,1.72,NA,NA,2.89,NA,306,NA,2018
"1060",32.375,27,99,5.34,73,NA,46104,"OL","C",9.25,1.87,7.81,4.71,3.1,26.5,300,NA,2018
"1061",31,26,124,4.59,72.5,NA,49699,"DL","ED",10.125,1.59,6.9,4.36,2.67,36,248,NA,2018
"1062",33.25,15,111,4.87,75.75,NA,30762,"TE","TE",9.75,1.71,7.07,4.4,2.86,28,262,NA,2018
"1063",32.125,20,117,4.38,72.375,NA,50657,"LB","ED",9,1.54,NA,NA,2.58,NA,227,NA,2018
"1064",35.25,17,105,5.23,76.625,NA,38897,"OL","T",10.75,1.86,7.89,4.77,2.98,NA,309,NA,2018
"1065",33,NA,117,4.69,75.75,NA,48553,"DL","ED",9.5,1.61,6.88,4.19,2.72,32.5,263,NA,2018
"1066",34,30,114,5.24,76.5,NA,46131,"OL","G",10.25,1.85,7.45,4.84,3.06,29,314,NA,2018
"1067",32,NA,NA,NA,77,NA,28121,"PK","K",9.75,NA,NA,NA,NA,NA,213,NA,2018
"1068",33.25,23,123,4.67,74.375,NA,50244,"DL","ED",10,1.66,7.14,4.45,2.72,32,235,NA,2018
"1069",33.375,23,123,4.41,75,NA,7021,"LB","ED",9.625,1.58,6.7,4.03,2.66,33.5,245,NA,2012
"1070",31.5,NA,NA,4.54,69.875,NA,49507,"DB","CB",9.125,1.59,NA,NA,2.64,NA,193,NA,2018
"1071",33.375,25,119,4.5,77.25,NA,48498,"LB","ED",10.375,NA,7.06,4.4,NA,36.5,248,NA,2019
"1072",31,13,120,NA,70.5,NA,51264,"DB","S",8.75,NA,7.25,4.37,NA,35,202,NA,2018
"1073",31.75,18,110,4.81,77.375,NA,47257,"TE","TE",9.25,1.67,7.17,4.23,2.79,31,253,NA,2018
"1074",33.375,23,113,4.7,75,NA,8809,"LB","ED",9.375,1.64,7.25,4.32,2.73,30,249,NA,2014
"1075",32.625,19,117,4.6,73.375,NA,51221,"LB","LB",10.25,1.6,7.06,4.28,2.7,35,229,NA,2018
"1076",32,NA,121,4.66,72.375,NA,50879,"LB","LB",9.375,1.62,7.05,4.24,2.71,35.5,238,NA,2018
"1077",30.625,15,127,NA,74.125,NA,49263,"DB","S",9.125,NA,NA,4.32,NA,37,215,NA,2018
"1078",31.5,15,NA,NA,72.125,NA,49681,"LB","LB",9.375,NA,NA,NA,NA,NA,235,76.25,2020
"1079",29.75,23,NA,NA,69.5,NA,57366,"RB","HB",9.5,NA,NA,NA,NA,NA,209,73.5,2020
"1080",31.25,22,112,4.81,72,NA,10880,"LB","LB",9.5,1.66,7.19,4.5,2.8,31,238,NA,2016
"1081",29.875,20,115,4.58,73.625,NA,808,"RB","HB",8.125,1.63,7.48,4.44,2.65,32.5,229,NA,2001
"1082",31.25,15,120,4.75,77.375,NA,47304,"TE","TE",9.5,1.64,7,4.4,2.76,32,244,NA,2018
"1083",29.875,24,112,4.75,68.125,NA,57184,"RB","HB",9,NA,NA,NA,NA,28.5,221,72.5,2020
"1084",29.875,NA,121,4.48,68.25,NA,57212,"RB","HB",9,NA,NA,NA,NA,35.5,212,72,2020
"1085",30,10,121,4.48,71,NA,11763,"RB","HB",9,1.55,6.57,4.22,2.6,37.5,202,NA,2017
"1086",30,NA,112,4.55,69.5,NA,3866,"RB","HB",9.125,1.66,6.7,4.09,2.75,34,198,NA,2007
"1087",30.125,16,117,NA,72.625,NA,26618,"RB","HB",9.375,NA,NA,4.27,NA,36,216,NA,2018
"1088",31.25,16,NA,NA,72.375,NA,30737,"LB","LB",9.375,NA,NA,NA,NA,NA,230,NA,2019
"1089",32.375,16,NA,NA,72.625,NA,49792,"LB","LB",9.5,NA,NA,NA,NA,NA,234,NA,2019
"1090",34.375,17,NA,4.7,74,NA,49684,"LB","LB",10.25,1.69,NA,NA,2.77,NA,234,NA,2018
"1091",29.75,21,NA,NA,70.375,NA,49196,"DB","S",8.5,NA,NA,NA,NA,NA,198,NA,2018
"1092",33.375,14,123,4.64,72.75,NA,10711,"DB","CB",10.25,1.64,6.98,4.15,2.7,35.5,204,NA,2016
"1093",32.5,17,NA,4.64,75.625,NA,29113,"DB","CB",9.75,NA,NA,NA,NA,NA,211,NA,2019
"1094",30.625,NA,NA,4.64,74.25,NA,42472,"DB","CB",9,NA,NA,NA,NA,34.5,188,72.375,2020
"1095",NA,25,119,4.49,71.25,NA,4957,"DB","S",NA,1.56,NA,NA,2.61,34,212,NA,2009
"1096",32.25,21,125,4.71,76.125,NA,61068,"TE","TE",9.75,NA,7.07,4.19,NA,34,253,78.75,2020
"1097",32,23,115,4.74,74.25,10.375,61072,"TE","TE",10,NA,7.08,4.46,NA,32.5,248,76.5,2020
"1098",32.25,17,122,4.55,76.625,NA,48135,"WO","WR",9.75,1.58,NA,NA,2.63,38,227,NA,2018
"1099",34,NA,89,5.38,74.875,NA,49918,"DL","DI",9.25,1.92,7.95,4.75,3.13,24,321,NA,2018
"1100",32.75,14,NA,4.57,71.875,NA,49339,"DB","CB",9.75,1.64,NA,NA,2.72,NA,200,NA,2018
"1101",32.75,17,134,4.58,72.25,NA,51203,"DB","CB",10,1.6,NA,NA,2.64,41.5,203,NA,2018
"1102",NA,23,113,4.73,74.75,NA,4656,"LB","LB",NA,1.59,7.16,4.5,2.72,31,244,NA,2008
"1103",32.375,15,134,4.6,70.75,NA,49349,"DB","CB",9,1.61,NA,4.36,2.68,40.5,194,NA,2018
"1104",33.875,32,103,5.2,76.875,NA,46673,"OL","G",10.875,1.85,7.6,4.83,3.07,25,311,NA,2018
"1105",33,20,NA,4.48,76.75,NA,47967,"WO","WR",9.75,1.54,NA,NA,2.59,NA,214,NA,2018
"1106",30.5,NA,NA,NA,72.125,NA,47593,"WO","WR",8.875,NA,NA,NA,NA,NA,201,NA,2018
"1107",33.375,20,121,4.82,76.75,NA,50170,"DL","ED",9.875,1.65,7.2,4.37,2.77,31.5,250,NA,2017
"1108",31.5,NA,NA,NA,71.625,NA,47477,"WO","WR",8.625,NA,NA,NA,NA,NA,186,NA,2018
"1109",NA,24,124,4.64,73.25,NA,809,"LB","LB",NA,1.63,7.25,4.5,2.65,38.5,234,NA,2001
"1110",33.75,18,NA,NA,73.75,NA,45662,"RB","HB",9.25,NA,NA,NA,NA,NA,213,NA,2018
"1111",32.75,NA,NA,4.63,72.25,NA,25445,"DB","CB",9.375,1.67,NA,NA,2.57,33,179,NA,2018
"1112",33.375,24,108,4.79,76.25,NA,4980,"DL","ED",10.125,1.69,7.52,4.47,2.83,32.5,263,NA,2009
"1113",NA,18,NA,4.49,71.25,NA,5101,"DB","S",NA,1.59,NA,NA,2.69,NA,192,NA,2009
"1114",33.5,26,122,4.48,73.125,NA,44980,"DL","LB",9.625,1.58,7.14,4.44,2.61,34.5,246,NA,2018
"1115",31.625,15,114,4.78,74.75,NA,47243,"RB","TE",9.75,1.67,7.09,4.34,2.78,31,241,NA,2018
"1116",33.375,14,117,4.86,75.5,NA,6376,"DL","ED",10,1.76,7.25,4.51,2.89,32.5,266,NA,2011
"1117",33.375,25,119,4.75,76.25,NA,9596,"DL","ED",10.25,1.63,7.25,4.47,2.75,32.5,269,NA,2015
"1118",33.375,24,120,4.86,77.25,NA,10637,"DL","ED",10.25,1.68,6.89,4.21,2.83,32,269,NA,2016
"1119",33.375,20,113,5.06,75.875,NA,11394,"DL","ED",10.25,1.8,7.4,4.77,2.96,31.5,273,NA,2016
"1120",29.5,NA,120,4.65,72.125,NA,6797,"DB","CB",8.625,1.69,7.09,4.37,2.76,30.5,182,NA,2011
"1121",31.25,25,97,5.39,76.5,NA,39386,"OL","G",9.625,1.86,8.04,4.92,3.13,29,311,NA,2018
"1122",NA,9,135,4.5,72.25,NA,5025,"DB","S",NA,1.57,6.84,4.2,2.65,45,197,NA,2009
"1123",34.125,16,111,4.74,77.5,NA,42062,"TE","TE",11,1.65,7.5,4.75,2.79,27,265,NA,2018
"1124",33.5,19,121,4.57,74.625,NA,50089,"DL","LB",9,1.59,NA,4.36,2.66,34,252,NA,2018
"1125",31.125,21,119,4.61,72.625,NA,51487,"LB","LB",9,1.64,6.64,4.07,2.71,32,223,NA,2018
"1126",31.125,21,117,4.79,72.375,NA,50812,"LB","LB",9.375,1.63,7.26,NA,2.77,30.5,230,NA,2018
"1127",NA,18,NA,4.82,74.5,NA,4695,"LB","LB",NA,NA,NA,NA,NA,NA,246,NA,2008
"1128",31.75,NA,NA,4.65,73,NA,55893,"DB","CB",10.125,NA,NA,NA,NA,NA,187,76.375,2020
"1129",NA,15,124,4.51,72.125,NA,4937,"DB","S",NA,1.6,6.59,4.08,2.67,33,204,NA,2009
"1130",31.5,14,121,4.66,70.375,NA,11302,"DB","CB",8.625,1.59,6.94,4.31,2.67,35.5,181,NA,2016
"1131",32.625,18,114,4.8,77,NA,109795,"TE","TE",9.5,NA,6.78,4.27,NA,31,255,78,2020
"1132",31.75,12,110,4.77,71.5,NA,8698,"WO","WR",10.25,1.73,NA,NA,2.84,28.5,205,NA,2014
"1133",32.625,15,109,4.73,76.75,NA,35985,"TE","TE",10.25,NA,7.15,4.39,NA,32,255,NA,2019
"1134",31.125,17,122,4.56,72,NA,27130,"DB","CB",9.875,1.62,7,4.28,2.67,40.5,206,NA,2018
"1135",30.75,16,119,4.65,70.5,NA,51315,"DB","S",8.25,1.6,NA,4.62,2.69,34.5,205,NA,2018
"1136",30,24,130,4.6,68.625,NA,9487,"RB","HB",8.625,1.6,6.79,3.95,2.68,42.5,205,NA,2015
"1137",33.875,27,NA,NA,78,NA,31698,"OL","T",9.375,NA,NA,NA,NA,NA,320,NA,2018
"1138",29.5,12,120,4.5,68,NA,48008,"WO","WR",9.875,1.58,6.89,4.28,2.64,NA,192,NA,2018
"1139",29,NA,NA,NA,69.75,NA,39417,"PK","K",8.75,NA,NA,NA,NA,NA,183,NA,2018
"1140",32.375,15,120,4.57,71.125,NA,50418,"DB","CB",9.875,NA,NA,4.4,NA,35.5,206,NA,2018
"1141",32,NA,NA,4.56,71.875,NA,19,"WO","WR",10.25,1.6,NA,NA,2.64,NA,175,NA,1991
"1142",33,18,120,4.8,75,NA,47124,"TE","TE",9.5,1.66,7.13,4.23,2.78,38,254,NA,2018
"1143",32.75,20,105,5.16,72.75,NA,49906,"DL","DI",9.75,NA,7.33,4.58,NA,29.5,298,NA,2018
"1144",30.625,14,NA,NA,71.25,NA,49274,"DB","S",9.25,NA,NA,NA,NA,NA,193,NA,2018
"1145",31.5,26,105,5.15,74.75,NA,62935,"DL","DI",10.125,NA,7.94,4.68,NA,29.5,314,NA,2018
"1146",33.75,22,120,4.7,76,NA,39770,"TE","TE",9.375,NA,7.27,4.34,NA,36,249,NA,2019
"1147",34.5,31,101,5.03,75.375,NA,49636,"DL","DI",9.375,NA,7.51,4.48,NA,28,296,NA,2018
"1148",32.5,18,101,5.28,74.25,NA,48935,"DL","DI",10.25,1.82,7.95,4.75,3.05,23.5,312,NA,2018
"1149",31,NA,NA,NA,76.5,NA,47344,"TE","TE",9.25,NA,NA,NA,NA,NA,249,NA,2019
"1150",34.5,17,117,4.75,74.5,NA,47580,"TE","TE",9.875,NA,7.27,4.51,NA,33,250,NA,2019
"1151",32.625,NA,NA,NA,76.875,NA,35748,"TE","TE",9.875,NA,NA,NA,NA,NA,252,78.125,2020
"1152",31.875,NA,NA,NA,73.875,NA,47191,"TE","TE",9.875,NA,NA,NA,NA,NA,250,78.25,2020
"1153",32.875,23,NA,4.96,76,NA,47214,"TE","TE",10.5,NA,NA,NA,NA,NA,257,79,2020
"1154",33.25,26,NA,5.06,76.625,NA,49601,"DL","DI",10,1.8,NA,NA,3,31,292,NA,2018
"1155",33.75,30,NA,5.25,75,NA,49940,"DL","DI",10.75,NA,NA,NA,NA,NA,314,NA,2018
"1156",32.875,28,NA,4.87,74.25,NA,48404,"DL","DI",10.25,NA,NA,NA,NA,NA,280,NA,2018
"1157",33,28,NA,NA,73.625,NA,48667,"DL","DI",9.625,NA,NA,NA,NA,NA,315,NA,2018
"1158",34.25,21,NA,NA,74.875,NA,48637,"DL","DI",10,NA,NA,NA,NA,NA,321,NA,2018
"1159",30,18,115,4.49,70,NA,7907,"RB","HB",9.375,1.56,6.89,4.31,2.62,31.5,205,NA,2013
"1160",30.125,NA,NA,4.61,70.875,NA,49221,"DB","S",8.75,NA,NA,NA,NA,29.5,186,NA,2018
"1161",30,NA,125,4.46,70.25,NA,4950,"RB","HB",9,1.62,6.93,4.1,2.66,41.5,210,NA,2009
"1162",30,24,116,4.49,68.25,NA,10777,"RB","HB",9,1.55,7.03,4.2,2.61,34.5,204,NA,2016
"1163",31.5,26,108,4.76,74.25,NA,48931,"DL","ED",10.25,NA,7.24,4.37,NA,31.5,254,NA,2018
"1164",30,NA,117,4.5,69.875,NA,6285,"RB","HB",9.125,1.71,7.07,4.31,2.76,32.5,209,NA,2011
"1165",30,17,119,4.6,68.125,NA,8101,"RB","HB",9,1.57,7.15,4.12,2.67,32,224,NA,2013
"1166",30,25,117,4.78,69.625,NA,1156,"RB","HB",9.375,1.68,7.27,4.08,2.76,31.5,224,NA,2002
"1167",30,15,118,4.72,71.125,NA,35314,"RB","HB",8.625,NA,7.38,4.44,NA,35.5,209,NA,2019
"1168",30,NA,118,4.68,70.125,NA,7980,"RB","HB",8.625,1.59,NA,NA,2.69,32,201,NA,2013
"1169",30,18,118,4.6,69.625,NA,45996,"RB","HB",9.25,1.57,NA,NA,2.64,31.5,202,NA,2018
"1170",30,13,121,4.52,71.625,NA,27126,"RB","HB",9.5,NA,NA,NA,NA,35,210,NA,2019
"1171",30,21,120,4.48,69.5,NA,10907,"RB","HB",9,1.54,NA,NA,2.58,34.5,198,NA,2016
"1172",30,15,NA,4.69,73,NA,23545,"DB","S",9.25,NA,NA,NA,NA,NA,199,NA,2018
"1173",32.25,NA,112,4.88,75.5,NA,47234,"TE","TE",9.125,NA,7.37,4.43,NA,34.5,247,76.875,2020
"1174",32.25,18,121,4.75,74.25,NA,36545,"TE","TE",9.5,NA,7,4.27,NA,36.5,240,77.875,2020
"1175",33.125,NA,119,4.92,75.625,NA,84056,"TE","TE",9.75,NA,NA,NA,NA,35,261,78.875,2020
"1176",31.625,NA,119,4.72,75.125,NA,48027,"WO","WR",9,NA,NA,NA,NA,29,215,76.25,2020
"1177",30.5,NA,NA,NA,74,NA,27413,"RB","FB",9.25,NA,NA,NA,NA,NA,245,NA,2018
"1178",30.75,17,109,4.83,73.875,NA,47265,"RB","FB",9.25,NA,7.45,4.53,NA,30.5,248,NA,2018
"1179",30,17,NA,4.42,68.75,NA,7069,"RB","HB",8.5,1.58,NA,NA,2.62,37,200,NA,2012
"1180",30,20,120,4.42,67.875,NA,45828,"RB","HB",9.25,NA,NA,NA,NA,37.5,188,73.75,2020
"1181",30,18,120,4.4,71.375,NA,5636,"RB","HB",8.75,1.57,NA,NA,2.65,36.5,198,NA,2010
"1182",31,NA,114,4.76,75,NA,23519,"QB","QB",9.375,NA,7.09,4.37,NA,30.5,222,NA,2018
"1183",30,18,109,NA,68.625,NA,12006,"RB","HB",10.5,NA,NA,NA,NA,NA,205,NA,2017
"1184",30.125,22,104,4.77,71,NA,6432,"RB","HB",9.5,1.7,7.09,4.37,2.75,30,229,NA,2011
"1185",32.5,NA,115,4.98,76.25,NA,38321,"QB","QB",10.5,NA,7,4.41,NA,32,218,NA,2018
"1186",30.125,17,110,4.76,69.125,NA,7922,"RB","HB",8.625,1.65,7.13,4.5,2.79,30,214,NA,2013
"1187",33.5,NA,117,4.81,75.5,NA,47131,"TE","TE",10.5,NA,7.28,4.51,NA,33,247,NA,2018
"1188",32.125,18,110,4.94,76.625,NA,47327,"TE","TE",9.25,NA,7.15,4.43,NA,33,256,NA,2018
"1189",32.125,14,NA,NA,76.75,NA,47333,"TE","TE",10.25,NA,NA,NA,NA,NA,247,NA,2018
"1190",32.25,20,116,4.75,78,NA,34985,"TE","TE",9.625,NA,7.5,4.59,NA,33,256,NA,2018
"1191",32,11,122,4.64,71,NA,29310,"RB","HB",9.125,NA,NA,NA,NA,33.5,199,NA,2018
"1192",33.875,12,112,4.54,75.625,NA,11114,"WO","WR",9.5,1.63,7.18,4.33,2.68,29.5,206,NA,2016
"1193",32.5,11,107,4.56,73.75,NA,7978,"WO","WR",8.625,1.63,NA,4.31,2.69,29.5,212,NA,2013
"1194",32.75,NA,120,NA,74.25,NA,48219,"WO","WR",10.375,NA,NA,NA,NA,36,199,NA,2018
"1195",31.5,9,121,4.55,74,NA,48170,"WO","WR",9.75,NA,6.89,4.23,NA,37,197,NA,2018
"1196",31.125,15,129,4.43,74,NA,48162,"WO","WR",9.625,NA,7.24,4.41,NA,38,211,NA,2018
"1197",31.75,25,105,5.16,73.75,NA,48510,"DL","DI",9.125,NA,NA,NA,NA,30,296,NA,2018
"1198",31.375,18,130,4.59,74.875,NA,47782,"WO","WR",9.25,NA,6.56,4.03,NA,38.5,226,NA,2018
"1199",28,11,NA,NA,68.625,NA,47961,"WO","WR",9.25,NA,NA,NA,NA,NA,184,NA,2018
"1200",30.875,NA,110,4.98,74.75,NA,27125,"QB","QB",9.625,NA,6.96,4.4,NA,29,212,NA,2018
"1201",32.5,13,122,4.63,70,NA,45714,"RB","HB",9.5,NA,NA,NA,NA,36.5,204,NA,2018
"1202",32.5,21,121,4.8,74.375,NA,50074,"LB","LB",10.25,NA,NA,4.28,NA,33,248,NA,2018
"1203",31.5,28,114,4.75,74,NA,49817,"LB","LB",10,NA,7.03,4.25,NA,32,244,NA,2018
"1204",33.625,18,NA,NA,73.25,NA,27379,"LB","LB",9.5,NA,NA,NA,NA,NA,250,80,2020
"1205",31.875,NA,96,5.09,76.625,NA,46453,"QB","QB",9.5,NA,7.5,4.4,NA,27,224,NA,2018
"1206",31,NA,103,4.79,73,NA,46517,"QB","QB",9.75,NA,6.94,4.15,NA,31.5,213,NA,2018
"1207",32.375,NA,NA,4.9,76.625,NA,46569,"QB","QB",9.125,NA,NA,NA,NA,26,235,NA,2018
"1208",32,11,113,4.64,75.125,NA,28580,"WO","WR",9.25,NA,6.7,4.32,NA,30,220,NA,2018
"1209",32,14,117,4.6,70.5,NA,33441,"WO","WR",9.5,NA,7.28,4.45,NA,30,201,NA,2019
"1210",32,14,117,4.6,73,NA,39587,"WO","WR",9.5,NA,7.28,4.23,NA,30,201,NA,2019
"1211",NA,NA,NA,4.6,72.875,NA,1783,"WO","WR",NA,NA,NA,NA,NA,30,207,NA,2004
"1212",32,22,NA,NA,71.375,NA,9506,"RB","HB",8.625,NA,NA,NA,NA,NA,206,NA,2015
"1213",33.5,14,129,4.52,73.375,NA,45731,"RB","HB",10.5,NA,NA,4.34,NA,40,228,NA,2018
"1214",32.125,18,NA,NA,74.125,NA,50787,"LB","LB",9.5,NA,NA,NA,NA,NA,238,NA,2018
"1215",30.5,18,NA,NA,73,9,25685,"LB","LB",8.75,NA,NA,NA,NA,NA,227,73.25,2020
"1216",33.125,19,NA,4.63,71.625,NA,50897,"LB","LB",10,1.57,NA,NA,2.65,NA,237,NA,2018
"1217",32.5,NA,123,4.44,74.375,NA,9503,"WO","WR",9,1.57,NA,NA,2.59,42,217,NA,2015
"1218",33.75,18,139,4.35,73.875,NA,9509,"WO","WR",9.875,1.52,7.06,4.3,2.54,45,213,NA,2015
"1219",34.75,28,105,5.17,77.25,NA,9485,"DL","DI",9.375,1.82,7.88,4.68,3.01,30,329,NA,2015
"1220",31.125,NA,NA,4.9,74.375,NA,9491,"DL","ED",10.5,1.68,NA,NA,2.81,NA,260,NA,2015
"1221",36.25,16,109,5.22,79,NA,46843,"OL","T",10.25,NA,8.1,NA,NA,27,317,NA,2018
"1222",32,19,NA,NA,73,NA,50714,"LB","FB",9.625,NA,NA,NA,NA,NA,239,NA,2018
"1223",33,NA,104,5.1,75,NA,21581,"OL","G",9.5,NA,7.95,4.69,NA,29,318,NA,2018
"1224",33.75,25,NA,5.01,78.125,NA,9486,"OL","T",10.375,1.8,7.25,4.33,2.97,32.5,306,NA,2015
"1225",35.25,NA,108,5.26,77.625,NA,46980,"OL","T",9.875,NA,7.8,NA,NA,31.5,306,NA,2018
"1226",31.75,NA,113,4.74,75.375,NA,42659,"LB","LB",9.125,NA,NA,4.49,NA,29,238,78,2020
"1227",33.25,28,106,5.34,76.375,NA,47015,"OL","T",10.25,NA,8.55,5.38,NA,24.5,317,NA,2018
"1228",33.5,NA,NA,4.79,73.375,NA,50287,"DL","ED",10.5,1.71,NA,NA,2.82,NA,249,NA,2018
"1229",33.5,17,126,4.62,76.375,NA,38472,"LB","ED",9.5,NA,7.08,4.21,NA,39,250,79.625,2020
"1230",31.5,NA,110,5.24,75,NA,39316,"OL","G",8.5,NA,7.62,4.59,NA,26.5,292,NA,2018
"1231",34.875,19,106,5.38,78,NA,34397,"OL","T",9.78,NA,7.41,4.71,NA,26,302,NA,2018
"1232",33.5,15,103,5.34,76,NA,46196,"OL","T",9.25,NA,NA,NA,NA,29.5,303,NA,2018
"1233",28.75,12,115,4.7,68.75,NA,27031,"RB","HB",9.25,NA,NA,NA,NA,29.5,218,NA,2018
"1234",33.625,19,NA,NA,73,NA,10670,"LB","LB",10.25,NA,NA,NA,NA,NA,245,NA,2016
"1235",NA,20,NA,4.66,72,NA,3366,"LB","LB",NA,NA,NA,NA,NA,NA,234,NA,2006
"1236",NA,20,NA,4.8,72.875,NA,1356,"LB","LB",NA,NA,NA,NA,NA,NA,245,NA,2003
"1237",NA,20,NA,4.86,74,NA,6147,"LB","LB",NA,NA,NA,NA,NA,NA,245,NA,2010
"1238",33.5,20,NA,NA,73.125,NA,51107,"LB","LB",10.375,NA,NA,NA,NA,NA,230,NA,2019
"1239",33,20,NA,NA,74.25,NA,11862,"LB","LB",9.5,NA,NA,NA,NA,NA,243,NA,2017
"1240",31,20,NA,NA,71.75,NA,49706,"LB","LB",10.25,NA,NA,NA,NA,NA,228,NA,2018
"1241",31.125,12,112,4.57,73.625,NA,48124,"WO","WR",9.125,NA,6.94,4.23,NA,26.5,209,74.25,2020
"1242",30.25,14,122,4.57,71.125,NA,9495,"DB","CB",9,1.61,7.1,4.28,2.67,36.5,195,NA,2015
"1243",34.25,NA,99,5.24,75,NA,46195,"OL","G",9.75,NA,NA,NA,NA,30.5,320,NA,2018
"1244",32.5,26,97,5.33,77,NA,46953,"OL","G",10.375,NA,7.86,4.88,NA,28.5,308,NA,2018
"1245",32.75,23,114,4.94,71,NA,9541,"RB","FB",10.5,1.76,7.56,4.4,2.89,33.5,254,NA,2015
"1246",34.625,NA,103,5.07,76.625,NA,9523,"DL","DI",11,1.73,7.91,4.47,2.91,33,320,NA,2015
"1247",NA,17,116,4.61,69.125,NA,9559,"RB","HB",NA,1.53,7,4.18,2.68,34,217,NA,2015
"1248",33.75,20,101,5.02,76.375,NA,9533,"DL","DI",9.75,1.77,7.5,4.57,2.93,31,318,NA,2015
"1249",32.625,34,100,5.07,74.75,NA,9546,"DL","DI",10.75,1.78,7.73,4.56,2.96,26.5,300,NA,2015
"1250",33.375,21,106,5.16,76.625,NA,9524,"OL","T",10.875,1.78,8,4.7,2.97,29.5,314,NA,2015
"1251",33.25,26,NA,NA,77.125,NA,9525,"TE","TE",10.125,NA,NA,NA,NA,NA,254,NA,2015
