"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"4352",29.25,14,123,"2020-03-05",4.65,68,NA,33293,"S","S",8.875,1.69,7.1,4.03,2.75,NA,32.5,175,71.875,2020
"4353",29.25,NA,122,"2020-03-05",NA,69.5,NA,49332,"S","S",8.75,NA,NA,NA,NA,NA,29,178,72.625,2020
"4354",31.625,14,118,"2020-03-05",4.67,71.375,NA,51239,"S","S",10,1.63,7.12,4.34,2.7,NA,31,200,76,2020
"4355",29.125,19,123,"2020-03-06",4.57,69.5,NA,51069,"S","S",8.5,1.56,7.1,4.37,2.64,NA,35,190,69.25,2020
"4356",NA,13,115,"2020-03-06",4.73,71,NA,33322,"S","S",NA,NA,NA,NA,NA,NA,33,191,NA,2020
"4357",NA,10,123,"2020-03-10",NA,74,NA,43139,"S","S",NA,NA,NA,NA,NA,NA,38.5,198,NA,2020
"4358",NA,15,118,"2020-03-11",NA,70.5,NA,42603,"S","S",9.625,NA,NA,NA,NA,NA,NA,200,77.625,2020
"4359",NA,NA,123,"2020-03-11",NA,73,NA,43062,"S","S",NA,NA,NA,NA,NA,NA,33,200,NA,2020
"4360",NA,4,107,"2020-03-11",4.9,67,NA,104276,"S","S",NA,NA,7.77,4.5,NA,NA,28.5,176,NA,2020
"4361",NA,13,122,"2020-03-11",4.52,NA,NA,51244,"S","S",NA,NA,7.32,4.53,NA,NA,32.5,NA,NA,2020
"4362",NA,NA,123,"2020-03-12",4.5,72.5,NA,34405,"S","S",NA,1.51,7.12,4.4,2.6,NA,32,198,NA,2020
"4363",NA,NA,NA,"2020-03-12",4.72,72,NA,33681,"S","S",NA,NA,NA,NA,NA,NA,NA,215,NA,2020
"4364",NA,14,134,"2020-03-12",4.41,74,NA,49537,"S","S",NA,NA,6.7,4.1,NA,256,40,190,NA,2020
"4365",NA,18,126,"2020-03-13",4.51,72,NA,51155,"S","S",NA,NA,NA,4.23,NA,NA,39,245,NA,2020
