"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"557",33.75,23,104,"2021-03-25",5.14,77.125,NA,41746,"T","T",9,NA,7.91,4.75,NA,NA,28,310,78.125,2021
"558",32.75,NA,NA,NA,4.77,72.25,NA,3125,"FB","FB",9.875,NA,NA,NA,NA,NA,32,245,NA,2006
"559",NA,NA,107,NA,4.81,71.875,NA,3526,"FB","FB",NA,NA,7.27,4.61,NA,NA,33.5,254,NA,2006
"560",31.75,NA,NA,NA,4.6,75.125,NA,3843,"WR","WR",9.25,1.55,NA,NA,2.72,NA,NA,208,NA,2007
"561",NA,NA,127,"2019-03-20",4.4,NA,NA,47996,"WR","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"562",31.5,NA,NA,"2021-02-12",NA,77.63,NA,77632,"QB","QB",10,NA,NA,NA,NA,NA,NA,213,78.25,2021
"563",29.25,22,113,"2021-03-09",NA,68.625,NA,57275,"HB","HB",8.5,NA,NA,NA,NA,NA,32.5,207,68.875,2021
"564",33,NA,111,"2021-03-09",4.99,75,NA,112915,"C","C",10.25,1.73,7.33,4.47,2.88,NA,32,320,82,2021
"565",NA,31,96,NA,5.35,75,NA,8365,"G","G",NA,1.88,8.41,4.72,3.07,NA,24.5,324,NA,2013
"566",33,24,128,"2021-03-25",4.51,74.125,NA,42806,"ED","ED",9.25,1.54,6.95,4.28,2.57,NA,39,242,NA,2021
"567",NA,25,NA,NA,5.34,77.875,NA,8435,"G","G",NA,1.77,7.57,4.6,2.98,NA,29,306,NA,2013
"568",33.5,NA,118,"2018-03-27",4.78,77,NA,48565,"DI","DI",10.25,1.74,7.36,4.83,2.81,NA,32.5,281,NA,2018
"569",NA,25,96,NA,5.28,72.875,NA,8452,"G","G",NA,1.84,8.01,4.93,3.04,NA,29,311,NA,2013
"570",33,22,107,NA,5.23,76.125,NA,8277,"G","G",9.875,1.81,7.94,4.66,3.03,NA,27,303,NA,2013
"571",NA,29,104,NA,5.03,74.375,NA,8493,"G","G",NA,1.74,7.56,4.76,2.9,NA,29,307,NA,2013
"572",33.75,NA,108,"2018-03-28",NA,76.375,NA,46333,"T","T",10.125,NA,NA,NA,NA,NA,29,308,NA,2018
"573",35,22,NA,"2018-03-29",NA,77.125,NA,46375,"T","T",10.75,NA,NA,NA,NA,NA,NA,298,NA,2018
"574",32.25,23,110,"2021-03-18",4.98,72.375,NA,56933,"DI","DI",8.875,1.71,7.2,4.6,2.81,NA,32.5,278,76.5,2021
"575",29.625,22,115,"2021-03-18",4.61,68.625,NA,88760,"HB","HB",8.75,1.63,7.16,4.38,2.61,NA,35.5,209,71.875,2021
"576",34.25,20,127,"2021-03-18",4.5,77.375,NA,143358,"WR","WR",10,1.57,6.96,4.36,2.6,NA,35,226,82.25,2021
"577",32.25,NA,NA,"2018-03-09",NA,78.25,NA,46794,"T","T",9.375,NA,7.81,NA,NA,NA,NA,315,NA,2018
"578",33,16,102,NA,5.29,76.875,NA,9721,"T","T",9.75,1.9,7.73,4.84,3.16,NA,22.5,307,NA,2015
"579",33.25,30,109,"2021-04-02",5.09,76.875,NA,81788,"T","T",10.375,1.77,7.7,4.68,2.96,NA,28,331,80.875,2021
"580",31,NA,110,"2021-03-09",4.93,74.875,NA,56383,"ED","ED",10.125,1.71,7.03,4.28,2.75,NA,32.5,258,77,2021
"581",34.375,NA,112,NA,5.25,75.875,NA,8880,"T","T",10.125,1.81,NA,NA,3.03,NA,31.5,303,NA,2014
"582",34.25,NA,NA,NA,NA,76.625,NA,5529,"T","T",NA,NA,7.45,4.51,NA,NA,NA,315,NA,2010
"583",NA,NA,108,NA,5.18,78.125,NA,4326,"T","T",NA,1.81,7.07,4.73,2.96,NA,31,309,NA,2008
"584",32.625,14,113,"2021-03-10",4.7,73.75,NA,27822,"TE","TE",10.5,1.64,7.19,4.45,2.71,NA,32.5,245,77.625,2021
"585",NA,29,107,NA,5.27,75.75,NA,8189,"G","G",NA,1.81,NA,4.81,3.05,NA,33,308,NA,2013
"586",NA,26,122,"2019-03-12",NA,NA,NA,48465,"ED","ED",NA,NA,NA,NA,NA,NA,35,NA,NA,2019
"587",NA,NA,120,"2021-03-25",4.52,70.5,NA,83392,"CB","CB",NA,NA,NA,NA,NA,NA,34,182,NA,2021
"588",32,NA,NA,"2021-03-25",NA,73.875,NA,46813,"C","C",9.25,NA,NA,NA,NA,NA,NA,300,77.25,2021
"589",29.875,16,118,"2021-03-25",4.45,69,NA,55690,"S","S",8,NA,7.14,4.34,NA,NA,35.5,190,NA,2021
"590",34,NA,NA,NA,5,78.375,NA,4331,"T","T",11,1.72,7.83,4.71,2.89,NA,NA,314,NA,2008
"591",NA,25,NA,NA,5.28,78,NA,4333,"T","T",NA,1.79,NA,NA,3.03,NA,NA,322,NA,2008
"592",34.5,29,108,NA,5.5,76.625,NA,4335,"T","T",10.375,1.87,8.02,4.92,3.13,NA,28.5,309,NA,2008
"593",32.857,24,115,"2021-03-25",5.33,78.375,NA,41530,"G","G",10.25,NA,7.77,4.53,NA,NA,31,309,NA,2021
"594",32.5,NA,NA,"2021-03-25",NA,77,NA,84045,"TE","TE",9.875,NA,NA,NA,NA,NA,NA,251,77.75,2021
"595",32.25,19,127,"2021-03-25",4.43,72.875,NA,45644,"CB","CB",9.875,NA,NA,NA,NA,NA,38,219,78,2021
"596",NA,24,108,NA,5.03,76.125,NA,4340,"T","T",NA,1.71,7.54,4.55,2.9,NA,32.5,315,NA,2008
"597",NA,11,104,"2021-03-25",5.04,70,NA,45272,"LS","LS",NA,NA,NA,4.54,NA,NA,28,215,NA,2021
"598",NA,21,NA,NA,NA,77.5,NA,3839,"T","T",NA,NA,NA,NA,NA,NA,NA,308,NA,2007
"599",NA,17,103,NA,NA,74.5,NA,1837,"ST","LB",NA,NA,NA,4.32,NA,NA,31.5,244,NA,2004
"600",32.875,NA,NA,"2018-03-20",4.49,74.625,NA,48316,"WR","WR",9.375,1.64,NA,NA,2.6,NA,NA,207,NA,2018
"601",NA,NA,NA,NA,4.8,73.375,NA,1880,"FB","FB",NA,NA,NA,NA,NA,NA,NA,245,NA,2004
"602",31.375,NA,NA,NA,4.54,73,NA,11911,"HB","HB",8.875,1.59,NA,NA,2.65,NA,33,219,NA,2017
"603",NA,NA,95,NA,5.38,78.375,NA,3961,"T","T",NA,1.89,7.77,5.16,3.05,NA,30,334,NA,2007
"604",NA,NA,111,NA,NA,75.5,NA,4373,"G","G",NA,NA,NA,NA,NA,NA,28,301,NA,2008
"605",31.875,20,108,"2019-03-12",NA,NA,NA,49677,"LB","LB",9.5,NA,NA,NA,NA,NA,32,NA,NA,2019
"606",31.5,19,113,"2018-03-10",4.65,73,NA,49167,"LB","LB",9.25,1.58,6.95,4.41,2.66,NA,30.5,212,NA,2018
"607",NA,26,110,NA,5.05,74.875,NA,6404,"G","G",NA,1.75,7.36,4.47,2.91,NA,30.5,302,NA,2011
"608",29.25,15,109,"2020-03-05",5.1,72,NA,45632,"FB","FB",8.625,NA,8.14,4.78,NA,NA,29.5,241,70.75,2020
"609",NA,11,116,"2020-03-11",4.68,69,NA,78559,"FB","FB",NA,NA,7.3,4.22,NA,NA,32,173,NA,2020
"610",31.5,29,118,"2019-03-20",4.75,NA,NA,30027,"FB","FB",9.5,1.63,7.25,4.38,2.65,NA,32.5,NA,NA,2019
"611",31.875,NA,NA,"2019-03-06",5.15,NA,NA,32565,"FB","FB",9.25,1.79,7.49,4.51,2.96,NA,NA,NA,NA,2019
"612",31.5,NA,128,"2018-03-07",4.45,72.75,NA,26075,"WR","WR",9.25,1.57,7.09,4.52,2.63,NA,NA,205,NA,2018
"613",NA,NA,NA,"2021-12-31",NA,NA,NA,84088,"WR","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"614",31.25,NA,126,"2018-03-15",4.44,75,NA,29726,"WR","WR",9.75,1.55,7.29,4.6,2.6,NA,35.5,205,NA,2018
"615",33.25,NA,119,"2019-04-04",4.5,74,NA,35014,"WR","WR",9.5,1.58,7.23,4.41,2.64,NA,34,225,NA,2019
"616",33,22,NA,NA,5.3,78.875,NA,2011,"T","T",9.5,NA,8.09,4.88,NA,NA,30,315,NA,2004
"617",32.5,20,131,"2019-03-12",4.55,NA,NA,44889,"FB","FB",9.5,1.52,6.94,4.18,2.61,NA,38.5,NA,NA,2019
"618",31.25,NA,NA,"2019-03-08",NA,71.875,NA,31572,"WR","WR",9,NA,7.69,4.39,NA,NA,NA,190,NA,2019
"619",30.75,17,NA,"2018-03-29",4.45,71.375,NA,38276,"WR","WR",10.125,1.57,6.99,4.19,2.59,NA,30.5,203,NA,2018
"620",31.5,NA,114,"2018-03-19",4.53,74.875,NA,41406,"WR","WR",9.25,1.56,NA,4.53,2.64,NA,NA,215,NA,2018
"621",33.125,NA,121,NA,NA,76.625,NA,12020,"TE","TE",9.625,NA,NA,NA,NA,NA,31,243,NA,2017
"622",33,NA,NA,NA,4.68,74.125,NA,10865,"TE","TE",10,1.67,NA,NA,2.69,NA,NA,231,NA,2016
"623",NA,18,128,"2019-03-19",4.43,75,NA,49012,"S","S",NA,NA,7.12,4.2,NA,NA,41,NA,NA,2019
"624",32.75,NA,121,NA,4.7,75.375,NA,11335,"TE","TE",9.5,1.59,NA,NA,2.65,NA,37.5,250,NA,2016
"625",33,NA,120,NA,4.75,77.5,NA,9518,"TE","TE",9.625,1.65,7.18,4.5,2.79,NA,34,246,NA,2015
"626",30.5,NA,NA,NA,4.72,75.75,NA,9635,"TE","TE",9.5,1.68,6.99,4.51,2.72,NA,NA,255,NA,2015
"627",32.5,NA,NA,NA,4.78,74.75,NA,9689,"TE","TE",10.75,1.6,7.26,4.56,2.72,NA,NA,244,NA,2015
"628",31.125,22,110,NA,4.88,74.125,NA,10034,"TE","TE",10.25,1.68,7.22,4.52,2.81,NA,31.5,258,NA,2015
"629",32.875,23,NA,NA,4.77,77.5,NA,9786,"TE","TE",10,1.73,NA,4.59,2.82,NA,31,263,NA,2015
"630",33.375,NA,NA,NA,5,76.375,NA,9604,"TE","TE",10.375,1.65,NA,NA,2.85,NA,NA,268,NA,2015
"631",NA,18,111,"2019-03-08",4.8,74,NA,45629,"FB","FB",NA,NA,7.31,4.32,NA,NA,32,NA,NA,2019
"632",NA,NA,NA,"2021-12-31",NA,NA,NA,77373,"T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"633",33.375,14,113,NA,NA,76.5,NA,9070,"TE","TE",10.5,NA,7.38,4.56,NA,NA,32.5,235,NA,2014
"634",33.625,NA,120,NA,4.72,79.375,NA,8478,"TE","TE",10.875,1.71,7.49,4.53,2.79,NA,35.5,259,NA,2013
"635",NA,22,112,"2019-03-13",4.74,NA,NA,49588,"ED","ED",NA,NA,7.46,4.59,NA,NA,28.5,NA,NA,2019
"636",33.5,NA,116,"2019-03-19",5.02,NA,NA,48952,"DI","DI",10.25,1.76,7.41,4.69,2.89,NA,32.5,NA,NA,2019
"637",31,16,123,"2018-03-18",4.52,72.625,NA,45416,"WR","WR",9.375,1.57,NA,NA,2.61,NA,NA,203,NA,2018
"638",NA,NA,NA,"2021-03-23",4.29,67,NA,62890,"WR","WR",NA,1.5,6.68,NA,2.49,NA,42.5,180,NA,2021
"639",NA,NA,NA,"2021-03-26",NA,NA,NA,61803,"CB","CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"640",30.625,NA,NA,"2021-03-19",4.5,73,NA,77847,"S","S",9.75,1.59,NA,4.19,2.57,NA,33,202,73.375,2021
"641",30.625,NA,NA,"2021-03-26",NA,74.125,NA,82096,"QB","QB",9.5,NA,NA,NA,NA,NA,NA,214,74.25,2021
"642",NA,NA,NA,"2021-03-23",NA,74,NA,61100,"WR","WR",NA,NA,NA,NA,NA,NA,NA,170,NA,2021
"643",33.25,21,125,"2021-03-29",4.56,77.4,NA,56902,"ED","ED",9.75,1.59,7.01,4.13,2.62,NA,36,260,80.75,2021
"644",33,19,133,"2021-03-24",4.39,72.625,NA,83375,"CB","CB",9.125,1.52,NA,NA,2.56,NA,41.5,205,77.25,2021
"645",34.75,21,115,"2021-03-29",4.69,78.5,NA,76889,"ED","ED",11,NA,7.5,4.45,NA,NA,30,266,83.25,2021
"646",32.5,NA,NA,"2021-03-30",4.44,74.75,NA,82118,"QB","QB",9.125,NA,NA,NA,NA,NA,NA,227,74.75,2021
"647",33.5,22,129,"2021-03-31",4.44,77.625,NA,83964,"TE","TE",10.625,NA,7.12,4.3,NA,NA,33.5,245,83.375,2021
"648",33.5,36,106,"2021-04-01",5.03,77.625,NA,41534,"T","T",9.5,NA,7.72,4.66,NA,NA,32.5,317,81,2021
"649",33.125,15,118,"2019-03-20",4.97,NA,NA,49805,"ED","ED",10.25,1.74,7.19,4.56,2.85,NA,31,NA,NA,2019
"650",34.375,16,119,"2019-03-08",4.75,NA,NA,50105,"ED","ED",10.25,1.62,7.01,4.57,2.69,NA,32.5,NA,NA,2019
"651",32.25,19,112,"2019-04-03",4.73,NA,NA,50208,"ED","ED",9.125,1.58,7.59,4.5,2.72,NA,30.5,NA,NA,2019
"652",31,23,116,"2019-03-06",4.89,NA,NA,50231,"ED","ED",8.875,1.74,7.69,4.56,2.82,NA,29,NA,NA,2019
"653",33.5,17,118,"2019-04-04",4.54,NA,NA,50286,"ED","ED",10,1.55,7.03,4.36,2.66,NA,33.5,NA,NA,2019
"654",32.625,23,121,"2018-03-17",4.59,74,NA,50152,"ED","ED",9.75,1.68,6.9,4.44,2.66,NA,34.5,236,NA,2018
"655",29.25,NA,109,"2019-03-20",4.59,67.125,NA,42237,"WR","WR",9.25,1.59,6.89,4.08,2.63,NA,33,173,NA,2019
"656",33.875,23,117,"2018-03-17",4.65,76.125,NA,50221,"ED","ED",9.25,1.65,7,4.45,2.66,NA,31,251,NA,2018
"657",33.125,24,106,"2019-03-15",5.29,NA,NA,49917,"DI","DI",10.5,1.83,7.42,4.53,3.03,NA,26.5,NA,NA,2019
"658",NA,15,108,NA,4.77,72.625,NA,4147,"S","S",NA,1.64,7.12,4.24,2.77,NA,35,211,NA,2007
"659",31.5,27,119,"2019-03-20",4.93,NA,NA,49948,"DI","DI",10.125,1.68,7.28,4.49,2.76,NA,35,NA,NA,2019
"660",NA,NA,102,"2019-03-13",NA,NA,NA,49994,"DI","DI",NA,NA,7.91,4.74,NA,NA,30.5,NA,NA,2019
"661",NA,14,121,NA,4.4,66.625,NA,4909,"HB","HB",NA,1.5,6.82,4.3,2.56,NA,38.5,177,NA,2007
"662",32.25,6,122,"2020-03-04",4.63,72.75,NA,48319,"WR","WR",8.875,NA,7.2,4.48,NA,NA,33.5,195,76.375,2020
"663",29,NA,109,"2018-03-27",4.89,69.75,NA,39417,"K","K",8.75,1.78,NA,NA,2.85,NA,NA,183,NA,2018
"664",30.5,16,116,"2020-03-05",NA,71.25,NA,13641,"WR","WR",9.5,NA,NA,NA,NA,NA,30,203,74.875,2020
"665",NA,NA,124,NA,4.61,76.875,NA,7844,"TE","TE",NA,1.61,7.09,4.42,2.72,NA,35,255,NA,2013
"666",33.625,NA,NA,NA,NA,74.75,NA,8004,"TE","TE",9,NA,NA,4.35,NA,NA,NA,244,NA,2013
"667",32.125,NA,NA,"2020-03-11",4.39,76,NA,81991,"LB","LB",9.5,NA,6.96,NA,NA,NA,36,226,77,2020
"668",31.5,NA,121,"2018-03-19",4.76,71.625,NA,47477,"WR","WR",8.625,1.66,6.91,4.23,2.76,NA,30.5,186,NA,2018
"669",33.875,17,NA,NA,4.87,74.625,NA,8037,"TE","TE",10,1.59,NA,NA,2.75,NA,35.5,258,NA,2013
"670",33.25,20,113,NA,4.93,77.125,NA,8089,"TE","TE",10.25,1.63,7.32,NA,2.87,NA,NA,254,NA,2013
"671",30.375,NA,NA,"2018-03-19",4.44,70.25,NA,47508,"WR","WR",9.375,1.53,NA,NA,2.61,NA,33.5,189,NA,2018
"672",33.25,NA,NA,NA,NA,71.75,NA,12004,"HB","HB",9.625,NA,7.53,4.28,NA,NA,39,218,NA,2017
"673",NA,NA,113,NA,NA,77.5,NA,4380,"DI","DI",NA,NA,NA,NA,NA,NA,31,287,NA,2008
"674",32.625,NA,96,"2021-03-26",5.31,77,NA,81725,"T","T",9.75,NA,7.86,4.91,NA,NA,28.5,326,79.75,2021
"675",32.5,NA,NA,"2021-12-31",NA,77,NA,84085,"TE","TE",9.875,NA,NA,NA,NA,NA,NA,251,77.75,2021
"676",29.125,16,119,"2021-03-29",4.5,67.875,NA,57337,"HB","HB",8.75,NA,6.81,3.98,NA,NA,34,201,73.375,2021
"677",33.375,NA,NA,"2021-03-23",NA,73.625,NA,57121,"HB","HB",10,NA,NA,NA,NA,NA,NA,230,81,2021
"678",32.5,NA,NA,"2021-03-23",NA,78,NA,41712,"C","C",10.375,NA,NA,NA,NA,NA,NA,326,81,2021
"679",34.375,20,118,"2021-03-23",5.01,77.125,NA,58468,"T","T",9.5,1.78,7.45,4.65,2.94,NA,34.5,312,85.375,2021
"680",30.875,22,123,"2021-03-29",4.55,69.5,NA,77803,"HB","HB",9.375,NA,6.97,4.09,NA,NA,36,212,74.875,2021
"681",32.75,18,128,"2021-03-29",4.46,72.5,NA,77986,"WR","WR",9.625,NA,6.87,4.35,NA,NA,38,189,77,2021
"682",29.5,13,125,"2021-03-30",4.62,69.375,NA,56290,"CB","CB",9.5,NA,NA,NA,NA,NA,36.5,192,72.5,2021
"683",33.875,25,NA,"2021-03-30",NA,75.625,NA,59993,"G","G",9.125,NA,NA,NA,NA,NA,NA,315,79.125,2021
"684",32.625,27,108,"2021-03-30",4.94,73.125,NA,76996,"DI","DI",9.375,NA,7.71,4.59,NA,NA,30.5,317,79,2021
"685",31.375,27,114,"2021-03-30",4.81,72.5,NA,28079,"LB","LB",8.875,NA,7.2,4.34,NA,NA,34.5,229,72.25,2021
"686",32.375,NA,NA,"2021-03-31",NA,75.125,NA,30669,"LB","LB",9,NA,NA,NA,NA,NA,NA,232,79,2021
"687",31.25,9,136,"2021-03-31",4.41,71.5,NA,61245,"WR","WR",9.25,NA,6.88,4.25,NA,NA,39.5,193,74.75,2021
"688",32.625,12,129,"2021-04-01",4.49,71.375,NA,43196,"S","S",9.375,NA,6.78,4.27,NA,NA,34.5,197,77,2021
"689",35.375,23,NA,"2021-04-09",NA,77.5,NA,56624,"ED","ED",10.5,NA,6.7,4.25,NA,NA,35.5,268,84.125,2021
"690",32.25,NA,NA,NA,4.53,75.375,NA,8353,"TE","TE",9.375,1.59,NA,NA,2.65,NA,NA,252,NA,2013
"691",32,NA,NA,"2018-03-18",4.72,74.25,NA,21605,"LB","LB",9.375,1.7,7.22,4.34,2.74,NA,NA,226,NA,2018
"692",30.5,12,113,"2018-03-14",4.79,72.125,NA,47593,"WR","WR",8.875,1.62,7.19,4.45,2.62,NA,29.5,201,NA,2018
"693",30,NA,NA,NA,4.66,68.625,NA,12006,"HB","HB",10.5,1.59,7.26,4.51,2.67,NA,NA,205,NA,2017
"694",33,23,121,"2019-03-07",4.68,NA,NA,50675,"LB","LB",9,1.64,7.1,4.21,2.68,NA,35,NA,NA,2019
"695",32.75,NA,112,"2018-03-29",4.82,74.625,NA,23189,"LB","LB",10.25,1.7,NA,NA,2.77,NA,32.5,251,NA,2018
"696",32.375,NA,122,"2018-03-15",4.5,71,NA,47792,"WR","WR",9.75,1.61,NA,NA,2.7,NA,39,213,NA,2018
"697",NA,NA,125,"2020-03-07",4.6,74.375,NA,38977,"WR","WR",NA,1.62,7.04,4.31,2.7,NA,36.5,206,NA,2020
"698",31.5,NA,NA,"2018-03-20",NA,73.125,NA,28091,"LB","LB",10.375,NA,6.93,4.15,NA,NA,NA,229,NA,2018
"699",32.75,NA,113,NA,4.62,75.25,NA,7660,"TE","TE",10.125,1.68,7.09,4.25,2.69,NA,33,246,NA,2012
"700",NA,NA,NA,NA,NA,74.125,NA,4344,"TE","TE",NA,NA,NA,3.94,NA,NA,41,242,NA,2008
"701",32.75,21,110,"2018-03-08",4.84,74.125,NA,51028,"ED","ED",9.75,1.7,7.03,4.26,2.8,NA,29.5,235,NA,2018
"702",31.25,NA,112,"2019-03-13",4.87,72.375,NA,30737,"LB","LB",9.375,1.74,7.06,4.28,2.75,NA,32.5,230,NA,2019
"703",31.625,14,121,"2019-03-22",4.61,NA,NA,49466,"CB","CB",9.75,1.55,7.34,4.47,2.67,NA,39,NA,NA,2019
"704",30.25,NA,NA,"2018-03-15",4.49,69.5,NA,47895,"WR","WR",9.25,1.56,6.89,4.32,2.56,NA,NA,190,NA,2018
"705",33,NA,NA,"2018-03-20",NA,76.75,NA,47967,"WR","WR",9.75,NA,NA,NA,NA,NA,34.5,214,NA,2018
"706",29.5,15,121,"2019-03-26",4.4,NA,NA,49482,"CB","CB",8,1.58,7.49,4.45,2.55,NA,32.5,NA,NA,2019
"707",NA,11,114,"2019-03-06",4.51,73,NA,49569,"CB","CB",NA,NA,7.1,4.23,NA,NA,34,NA,NA,2019
"708",29.5,NA,NA,"2018-03-19",4.41,68,NA,48008,"WR","WR",9.875,1.53,NA,4.34,2.55,NA,NA,192,NA,2018
"709",31.125,11,127,"2019-03-28",4.62,NA,NA,49572,"CB","CB",8.5,1.57,6.65,4.07,2.7,NA,40.5,NA,NA,2019
"710",31.5,7,NA,"2018-03-28",NA,70.625,NA,48101,"WR","WR",9.5,NA,7,4.33,NA,NA,NA,200,NA,2018
"711",32.25,NA,125,"2018-03-10",4.48,72.5,NA,48113,"WR","WR",9.5,1.57,NA,NA,2.61,NA,36,186,NA,2018
"712",32.5,NA,124,"2018-03-27",NA,76.625,NA,48135,"WR","WR",9.875,NA,7.11,4.33,NA,NA,NA,227,NA,2018
"713",31.5,20,124,"2019-03-28",4.64,NA,NA,50336,"CB","CB",9,1.64,6.59,4.15,2.78,NA,32.5,NA,NA,2019
"714",31.625,NA,125,"2018-04-06",4.5,71.125,NA,48160,"WR","WR",10,1.57,6.65,4.26,2.59,NA,39,201,NA,2018
"715",NA,11,NA,"2019-03-20",4.56,NA,NA,50342,"CB","CB",NA,NA,7.41,4.38,NA,NA,35.5,NA,NA,2019
"716",30.75,15,119,"2019-03-19",4.52,NA,NA,50353,"CB","CB",8.75,1.57,6.97,4.18,2.64,NA,37,NA,NA,2019
"717",30.75,10,115,"2019-03-12",4.67,NA,NA,50356,"CB","CB",8.5,1.64,6.9,4.2,2.63,NA,30.5,NA,NA,2019
"718",32.375,NA,126,"2018-03-29",NA,75.375,NA,48164,"WR","WR",9.75,NA,NA,NA,NA,NA,35,218,NA,2018
"719",33.75,NA,NA,"2018-03-18",4.66,76.875,NA,48192,"WR","WR",9.375,1.6,7.37,4.58,2.73,NA,NA,228,NA,2018
"720",34.25,NA,121,"2019-03-20",NA,76.625,NA,47725,"WR","WR",9.25,NA,7.14,4.34,NA,NA,NA,227,NA,2019
"721",31.25,13,115,"2019-04-03",4.72,NA,NA,50454,"CB","CB",8.75,1.61,7.15,4.47,2.74,NA,31,NA,NA,2019
"722",30.75,13,119,"2019-03-26",4.57,NA,NA,50480,"CB","CB",9.75,1.59,7.25,4.24,2.55,NA,32.5,NA,NA,2019
"723",34,25,120,"2021-03-23",NA,73.625,NA,42754,"DI","DI",10.375,1.74,7.58,4.5,NA,NA,31.5,282,83,2021
"724",NA,11,122,"2021-03-25",4.46,67.5,NA,61522,"WR","WR",NA,1.56,6.66,3.98,2.59,NA,35.5,174,NA,2021
"725",30.125,25,NA,"2021-03-29",4.58,74.125,NA,40313,"LB","LB",9.625,NA,7.02,4.16,NA,NA,31,229,75.5,2021
"726",31.25,22,115,"2021-03-26",4.46,68.625,NA,41668,"HB","HB",8.5,NA,6.96,4.31,NA,NA,33,210,73.875,2021
"727",30.375,20,127,"2021-03-24",4.51,71.375,NA,84470,"WR","WR",9.125,1.57,6.81,4.27,2.62,NA,38.5,197,NA,2021
"728",31.75,40,117,"2021-03-30",4.97,73.5,NA,82501,"DI","DI",8.875,NA,7.2,4.49,NA,NA,32,296,76.25,2021
"729",29.25,11,114,"2021-03-26",4.49,71.5,NA,42109,"WR","WR",9.5,NA,NA,NA,NA,NA,35,184,71,2021
"730",32.625,11,119,"2021-04-01",4.51,75.25,NA,56061,"CB","CB",9.375,NA,6.63,4,NA,NA,34.5,202,78.625,2021
"731",31,13,121,"2021-04-02",4.45,71.25,NA,55685,"CB","CB",8.875,NA,7.08,4.21,NA,NA,34.5,192,74.625,2021
"732",30.5,NA,120,NA,4.59,70.125,NA,12253,"HB","HB",9.75,1.64,6.71,4.17,2.66,NA,32,220,NA,2017
"733",NA,NA,NA,NA,4.72,77.125,NA,4352,"TE","TE",NA,1.67,NA,NA,2.74,NA,35.5,251,NA,2008
"734",NA,NA,NA,"2020-03-09",4.77,69.625,NA,61345,"WR","WR",NA,1.59,NA,NA,2.76,NA,NA,141,NA,2020
"735",31.375,24,124,"2019-03-19",4.54,NA,NA,51199,"LB","LB",8.875,1.55,6.87,4.28,2.63,NA,37,NA,NA,2019
"736",NA,20,112,"2020-03-06",4.73,76.75,NA,60853,"WR","WR",NA,NA,NA,NA,NA,NA,33.5,242,NA,2020
"737",31.5,6,123,"2019-03-21",4.61,NA,NA,51405,"LB","LB",9.25,1.59,7.21,4.33,2.67,NA,37,NA,NA,2019
"738",NA,9,116,"2020-03-06",4.5,70,NA,47493,"WR","WR",NA,NA,NA,NA,NA,NA,33,175,NA,2020
"739",31.5,NA,124,"2019-04-05",4.56,74.125,NA,48143,"WR","WR",9.5,1.59,NA,NA,2.62,NA,36,211,NA,2019
"740",NA,18,109,"2020-03-06",4.83,74.125,NA,38931,"WR","WR",NA,NA,NA,NA,NA,NA,36,239,NA,2020
"741",32.875,NA,NA,"2019-03-29",NA,72.5,NA,48327,"WR","WR",9.75,NA,7,4.25,NA,NA,NA,226,NA,2019
"742",NA,NA,116,NA,4.68,75,NA,4362,"TE","TE",NA,1.56,7.36,4.68,2.8,NA,33,255,NA,2008
"743",NA,17,109,"2019-03-20",4.73,NA,NA,51580,"LB","LB",NA,NA,6.78,4.36,NA,NA,32,NA,NA,2019
"744",NA,NA,122,"2020-03-10",NA,78,NA,47802,"WR","WR",NA,NA,NA,NA,NA,NA,NA,187,NA,2020
"745",32,21,128,"2019-03-27",4.63,NA,NA,57870,"LB","LB",9.375,1.62,6.94,4.35,2.66,NA,36.5,NA,NA,2019
"746",32,15,115,"2018-03-26",4.75,74.875,NA,51099,"LB","LB",9.375,1.7,7.01,4.43,2.75,NA,33.5,235,NA,2018
"747",33.875,18,135,"2019-03-13",4.5,NA,NA,57370,"HB","HB",9,NA,7.51,4.45,NA,NA,40.5,NA,NA,2019
"748",NA,21,110,NA,4.82,73.625,NA,51837,"FB","FB",NA,1.69,7.06,4.29,2.7,NA,31.5,246,NA,2017
"749",33.5,NA,NA,"2019-03-12",NA,74,NA,39605,"LB","LB",9.75,NA,7.12,4.5,NA,NA,NA,242,NA,2019
"750",NA,27,109,NA,4.72,72.875,NA,8845,"FB","FB",NA,1.7,7.33,4.4,2.75,NA,32,254,NA,2014
"751",NA,NA,NA,NA,NA,79.5,NA,4390,"TE","TE",NA,NA,7.22,4.27,NA,NA,36.5,270,NA,2008
"752",NA,NA,115,"2020-03-10",NA,72,NA,33507,"WR","WR",NA,NA,NA,NA,NA,NA,31,170,NA,2020
"753",NA,21,105,NA,4.87,NA,NA,2100,"FB","FB",NA,NA,7.46,4.54,NA,NA,31,NA,NA,2004
