"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"54","James Robinson",22425,2020,"JAX",239,4.9901752282386,5.15147195760136,0.161296729362758,4.64,2020,2.66,1.60130952380952,67.7,54,4.49,2.64
"55","Jamaal Williams",11889,2018,"GB",108,5.19352433858094,5.35247460196937,0.158950263388426,4.59,2017,2.68,1.6,67.5,55,4.49,2.64
"56","Jamaal Williams",11889,2019,"GB",87,4.95062903700204,5.10161332546759,0.150984288465549,4.59,2017,2.68,1.6,66.7,56,4.49,2.64
"57","Phillip Lindsay",12660,2019,"DEN",194,5.02859379458673,5.17721693389645,0.148623139309715,4.43,2018,2.68,1.62,66.4,57,4.49,2.64
"58","Chris Carson",12004,2020,"SEA",125,5.15572469139099,5.30394741207805,0.148222720687055,4.58,2017,2.66,1.6,66.4,58,4.49,2.64
"59","Matt Breida",12271,2020,"MIA",59,4.83648465851606,4.96541462074235,0.128929962226288,4.43,2017,2.59,1.59,64.5,59,4.49,2.64
"60","Mark Ingram II",6180,2020,"BAL",64,5.00607265532017,5.12204773387589,0.115975078555726,4.57,2011,2.7,1.62,63.2,60,4.49,2.64
"61","Mike Davis",9559,2018,"SEA",78,4.90759292015663,5.01706488582699,0.109471965670361,4.61,2015,2.68,1.53,62.6,61,4.49,2.64
"62","Rashaad Penny",27414,2019,"SEA",58,4.95839460964861,5.05990850390747,0.101513894258865,4.46,2018,2.63,1.58,61.8,62,4.49,2.64
"63","Benny Snell Jr.",45954,2019,"PIT",108,4.9474744575995,5.04601584614485,0.0985413885453511,4.66,2019,2.66,1.60130952380952,61.5,63,4.5,2.64
"64","Jerick McKinnon",8731,2020,"SF",78,5.16287952203017,5.26124796621655,0.0983684441863763,4.41,2014,2.57,1.55,61.5,64,4.5,2.64
"65","Sony Michel",27589,2018,"NE",171,5.15644033052768,5.2500065950246,0.0935662644969249,4.54,2018,2.62,1.56,61,65,4.5,2.64
"66","Derrick Henry",10679,2019,"TEN",287,5.15282364174049,5.24215560378657,0.0893319620460839,4.54,2016,2.67,1.6,60.6,66,4.5,2.65
"67","Tarik Cohen",11874,2018,"CHI",72,5.25335859921243,5.337801776132,0.0844431769195704,4.42,2017,2.59,1.54,60.1,67,4.5,2.65
"68","James White",8765,2018,"NE",65,5.18503751754761,5.2659295414365,0.0808920238888958,4.57,2014,2.66,1.6,59.7,68,4.5,2.65
"69","Melvin Gordon III",9448,2018,"LAC",152,5.31124318900861,5.39068895285318,0.079445763844564,4.52,2015,2.66,1.62,59.6,69,4.5,2.65
"70","Lamar Miller",7097,2018,"HOU",150,5.06567797025045,5.14140035186266,0.0757223816122138,4.34,2012,2.55,1.53,59.2,70,4.51,2.65
"71","Royce Freeman",45747,2019,"DEN",113,4.99702946063692,5.07248376676319,0.0754543061262738,4.54,2018,2.66,1.6,59.2,71,4.51,2.65
"72","Wendell Smallwood",10787,2018,"PHI",79,5.05844366399548,5.1333235318032,0.074879867807719,4.47,2016,2.63,1.57,59.1,72,4.51,2.65
"73","Austin Ekeler",12164,2018,"LAC",60,5.22110621929169,5.29572171475635,0.0746154954646601,4.53739583333333,NA,2.66,1.60130952380952,59.1,73,4.51,2.65
"74","Rex Burkhead",7971,2019,"NE",61,5.0803653646688,5.15460308717598,0.0742377225071801,4.73,2013,2.73,1.63,59.1,74,4.51,2.65
"75","Derrick Henry",10679,2018,"TEN",148,5.18293421655088,5.25676802352271,0.0738338069718301,4.54,2016,2.67,1.6,59,75,4.52,2.66
"76","Alex Collins",10805,2018,"BAL",93,5.13097877912624,5.20013629074007,0.0691575116138269,4.59,2016,2.7,1.62,58.6,76,4.52,2.66
"77","Myles Gaskin",45914,2020,"MIA",144,4.78722818526957,4.85384830811937,0.0666201228498033,4.58,2019,2.66,1.60130952380952,58.3,77,4.52,2.66
"78","Giovani Bernard",7818,2020,"CIN",114,4.93477546750453,5.00069381048072,0.0659183429761848,4.53,2013,2.64,1.56,58.3,78,4.52,2.66
"79","Latavius Murray",7962,2018,"MIN",118,5.09981599500624,5.16434871373428,0.0645327187280417,4.42,2013,2.64,1.55,58.1,79,4.52,2.66
"80","Alvin Kamara",11822,2019,"NO",156,5.33752296062616,5.40017868809051,0.0626557274643437,4.56,2017,2.61,1.55,57.9,80,4.52,2.66
"81","J.D. McKissic",11047,2020,"WAS",68,5.24613703699673,5.30050513024345,0.0543680932467198,4.61,2016,2.73,1.64,57.1,81,4.52,2.66
"82","Boston Scott",39462,2020,"PHI",73,4.99641606252487,5.03966718551196,0.0432511229870884,4.44,2018,2.65,1.63,56,82,4.52,2.66
"83","Alexander Mattison",45817,2020,"MIN",95,5.16510129727815,5.19708497277543,0.0319836754972761,4.67,2019,2.74,1.62,54.9,83,4.52,2.66
"84","Chris Ivory",6007,2018,"BUF",112,5.04198818121638,5.07310361720697,0.0311154359905947,4.52,2010,2.68,1.6,54.8,84,4.52,2.66
"85","Miles Sanders",40555,2019,"PHI",164,5.03019580463084,5.05961101693206,0.0294152123012204,4.49,2019,2.66,1.60130952380952,54.7,85,4.52,2.66
"86","T.J. Yeldon",9469,2018,"JAX",87,4.92440253838725,4.94136886329903,0.0169663249117744,4.61,2015,2.71,1.63,53.4,86,4.52,2.66
